patch,champion_name,champion_name_kr,role,pick_count,pick_rate_pct,win_rate_pct,avg_kda,avg_gpm,avg_vision,sample_flag
15.1,Lulu,룰루,SUPPORT,213,2.232,52.11,5.308,283.1,59.73,
15.1,Jinx,징크스,BOT,204,2.138,49.51,3.156,428.4,14.21,
15.1,Caitlyn,케이틀린,BOT,176,1.844,49.43,2.951,430.5,16.19,
15.1,Viego,비에고,JUNGLE,171,1.792,49.12,3.797,417.3,20.51,
15.1,MissFortune,미스 포츈,BOT,157,1.645,50.32,2.848,432.2,16.94,
15.1,Jhin,진,BOT,153,1.603,56.21,4.185,442.3,15.38,
15.1,Ezreal,이즈리얼,BOT,148,1.551,51.35,3.56,408.4,14.84,
15.1,Viktor,빅토르,MID,145,1.519,51.72,3.275,406.8,15.73,
15.1,Nami,나미,SUPPORT,142,1.488,47.89,4.834,277.6,58.48,
15.1,MonkeyKing,오공,JUNGLE,139,1.457,53.24,4.789,415.5,20.13,
15.1,Janna,잔나,SUPPORT,119,1.247,45.38,4.896,283.6,66.15,
15.1,Twitch,트위치,BOT,110,1.153,39.09,2.679,432.0,14.82,
15.1,Katarina,카타리나,MID,106,1.111,47.17,3.206,427.6,13.76,
15.1,Syndra,신드라,MID,104,1.09,44.23,3.112,421.7,17.5,
15.1,Hecarim,헤카림,JUNGLE,96,1.006,45.83,4.013,435.9,17.84,
15.1,Thresh,쓰레쉬,SUPPORT,93,0.975,41.94,3.871,284.4,57.9,
15.1,Vladimir,블라디미르,MID,88,0.922,44.32,3.72,405.5,14.01,
15.1,Riven,리븐,TOP,87,0.912,49.43,2.957,428.4,14.8,
15.1,Vayne,베인,BOT,87,0.912,56.32,3.739,430.2,14.84,
15.1,Corki,코르키,BOT,86,0.901,48.84,3.362,416.1,15.4,
15.1,Karma,카르마,SUPPORT,86,0.901,48.84,3.494,292.9,63.88,
15.1,JarvanIV,자르반 4세,JUNGLE,85,0.891,49.41,4.394,399.0,21.59,
