patch,role,champion_name,pick_count,pick_rate_pct,win_rate_pct,wilson_low_pct,pop_quartile,flag
15.1,BOT,Kaisa,70,0.734,57.14,45.48,4,NERF
15.1,BOT,Ashe,60,0.629,56.67,44.1,4,NERF
15.1,BOT,Vayne,87,0.912,56.32,45.85,4,NERF
15.1,BOT,Jhin,153,1.603,56.21,48.29,4,NERF
15.1,BOT,Lucian,58,0.608,55.17,42.45,4,NERF
15.1,BOT,Draven,79,0.828,53.16,42.27,4,NERF
15.1,BOT,Veigar,22,0.231,68.18,47.32,3,
15.1,BOT,Nilah,19,0.199,63.16,41.04,3,
15.1,BOT,Lux,17,0.178,58.82,36.01,3,
15.1,BOT,Aphelios,39,0.409,53.85,38.57,3,
15.1,BOT,Ezreal,148,1.551,51.35,43.37,4,
15.1,BOT,MissFortune,157,1.645,50.32,42.58,4,
15.1,BOT,Smolder,30,0.314,50.0,33.15,3,
15.1,BOT,Jinx,204,2.138,49.51,42.72,4,
15.1,BOT,Caitlyn,176,1.844,49.43,42.14,4,
15.1,BOT,Varus,47,0.493,48.94,35.28,4,
15.1,BOT,Sivir,45,0.472,48.89,34.96,4,
15.1,BOT,Corki,86,0.901,48.84,38.55,4,
15.1,BOT,KogMaw,19,0.199,47.37,27.33,3,
15.1,BOT,Samira,58,0.608,44.83,32.75,4,
15.1,BOT,Tristana,24,0.251,41.67,24.47,3,
15.1,BOT,Twitch,110,1.153,39.09,30.49,4,
15.1,BOT,Karthus,16,0.168,37.5,18.48,3,
15.1,BOT,Viktor,19,0.199,36.84,19.15,3,
15.1,BOT,Zeri,23,0.241,34.78,18.81,3,
15.1,BOT,Kalista,32,0.335,34.38,20.41,3,
15.1,BOT,Xayah,40,0.419,30.0,18.07,3,
15.1,BOT,Ambessa,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Annie,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Aurora,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Gragas,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Ivern,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Leblanc,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Malzahar,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Morgana,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Naafiri,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Nami,1,0.01,100.0,20.65,1,LOW_N
15.1,BOT,Olaf,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,Quinn,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,Senna,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,TahmKench,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,Velkoz,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,Vladimir,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,Yorick,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,Zoe,1,0.01,100.0,20.65,2,LOW_N
15.1,BOT,Syndra,5,0.052,80.0,37.55,2,LOW_N
15.1,BOT,Yasuo,6,0.063,50.0,18.76,2,LOW_N
15.1,BOT,Swain,10,0.105,50.0,23.66,3,LOW_N
15.1,BOT,Hwei,13,0.136,46.15,23.21,3,LOW_N
15.1,BOT,Brand,7,0.073,42.86,15.82,2,LOW_N
15.1,BOT,Seraphine,13,0.136,38.46,17.71,3,LOW_N
15.1,BOT,Cassiopeia,9,0.094,33.33,12.06,2,LOW_N
15.1,BOT,Ziggs,9,0.094,33.33,12.06,2,LOW_N
15.1,BOT,Akshan,1,0.01,0.0,0.0,1,LOW_N
15.1,BOT,AurelionSol,1,0.01,0.0,0.0,1,LOW_N
15.1,BOT,Briar,1,0.01,0.0,0.0,1,LOW_N
15.1,BOT,Garen,1,0.01,0.0,0.0,1,LOW_N
15.1,BOT,Heimerdinger,1,0.01,0.0,0.0,1,LOW_N
15.1,BOT,Malphite,1,0.01,0.0,0.0,1,LOW_N
15.1,BOT,Taliyah,1,0.01,0.0,0.0,2,LOW_N
15.1,BOT,Zyra,1,0.01,0.0,0.0,2,LOW_N
15.1,BOT,Sion,2,0.021,0.0,0.0,2,LOW_N
15.1,JUNGLE,LeeSin,77,0.807,55.84,44.74,4,NERF
15.1,JUNGLE,Skarner,53,0.555,54.72,41.45,4,NERF
15.1,JUNGLE,MonkeyKing,139,1.457,53.24,44.97,4,NERF
15.1,JUNGLE,Vi,55,0.576,52.73,39.79,4,NERF
15.1,JUNGLE,Nocturne,75,0.786,52.0,40.87,4,NERF
15.1,JUNGLE,Warwick,26,0.272,73.08,53.92,3,BUFF_HIDDEN_STRONG
15.1,JUNGLE,Nunu,37,0.388,64.86,48.76,3,
15.1,JUNGLE,Talon,33,0.346,63.64,46.62,3,
15.1,JUNGLE,Gwen,16,0.168,62.5,38.64,2,
15.1,JUNGLE,Shaco,36,0.377,55.56,39.58,3,
15.1,JUNGLE,Belveth,26,0.272,53.85,35.46,3,
15.1,JUNGLE,Sejuani,23,0.241,52.17,32.96,3,
15.1,JUNGLE,Kindred,29,0.304,51.72,34.43,3,
