champion_name,n_15_1,n_15_3,winrate_15_1_pct,winrate_15_3_pct,winrate_diff_pp,wr_ci_low_pp,wr_ci_high_pp,pickrate_15_1_pct,pickrate_15_3_pct,pickrate_diff_pp
Fiora,30,142,66.67,49.3,-17.37,-36.14,1.4,0.314,0.306,-0.008
Talon,49,195,57.14,40.51,-16.63,-32.11,-1.15,0.513,0.42,-0.093
Leblanc,35,139,60.0,44.6,-15.4,-33.61,2.82,0.367,0.3,-0.067
Skarner,58,118,55.17,42.37,-12.8,-28.4,2.8,0.608,0.254,-0.354
Veigar,65,209,61.54,49.28,-12.26,-25.89,1.38,0.681,0.45,-0.231
Braum,71,233,57.75,47.21,-10.54,-23.69,2.62,0.744,0.502,-0.242
Shaco,42,269,54.76,44.24,-10.52,-26.7,5.66,0.44,0.58,0.14
Kaisa,71,523,57.75,47.8,-9.95,-22.21,2.32,0.744,1.127,0.383
Swain,46,290,65.22,55.86,-9.36,-24.26,5.55,0.482,0.625,0.143
Malzahar,65,313,56.92,47.92,-9.0,-22.25,4.25,0.681,0.674,-0.007
