champion_name,n_15_1,n_15_3,winrate_15_1_pct,winrate_15_3_pct,winrate_diff_pp,wr_ci_low_pp,wr_ci_high_pp,pickrate_15_1_pct,pickrate_15_3_pct,pickrate_diff_pp
XinZhao,39,221,33.33,58.82,25.49,9.33,41.65,0.409,0.476,0.068
Chogath,77,560,35.06,53.39,18.33,6.9,29.76,0.807,1.207,0.4
Zyra,38,263,34.21,51.33,17.12,0.87,33.37,0.398,0.567,0.169
Karthus,58,111,37.93,54.95,17.02,1.48,32.57,0.608,0.239,-0.369
Mordekaiser,76,319,38.16,52.66,14.51,2.29,26.73,0.796,0.687,-0.109
Kalista,33,111,36.36,50.45,14.09,-4.78,32.95,0.346,0.239,-0.107
Akshan,39,217,41.03,54.84,13.81,-2.98,30.61,0.409,0.468,0.059
Amumu,69,348,42.03,55.75,13.72,0.96,26.48,0.723,0.75,0.027
Xayah,40,157,30.0,43.31,13.31,-2.87,29.49,0.419,0.338,-0.081
Anivia,30,106,46.67,59.43,12.77,-7.38,32.92,0.314,0.228,-0.086
