patch,champion,champion_en,role,pick_count,pick_rate_pct,win_rate_pct,wilson_low_pct,flag,riot_15_3_action
15.1,징크스,Jinx,BOT,204,2.138,49.51,42.72,,
15.1,케이틀린,Caitlyn,BOT,176,1.844,49.43,42.14,,
15.1,미스 포츈,MissFortune,BOT,157,1.645,50.32,42.58,,NERF
15.1,진,Jhin,BOT,153,1.603,56.21,48.29,NERF,
15.1,이즈리얼,Ezreal,BOT,148,1.551,51.35,43.37,,
15.1,트위치,Twitch,BOT,110,1.153,39.09,30.49,,
15.1,베인,Vayne,BOT,87,0.912,56.32,45.85,NERF,
15.1,코르키,Corki,BOT,86,0.901,48.84,38.55,,
15.1,드레이븐,Draven,BOT,79,0.828,53.16,42.27,NERF,
15.1,카이사,Kaisa,BOT,70,0.734,57.14,45.48,NERF,
15.1,애쉬,Ashe,BOT,60,0.629,56.67,44.1,NERF,
15.1,루시안,Lucian,BOT,58,0.608,55.17,42.45,NERF,
15.1,사미라,Samira,BOT,58,0.608,44.83,32.75,,BUFF
15.1,바루스,Varus,BOT,47,0.493,48.94,35.28,,BUFF
15.1,시비르,Sivir,BOT,45,0.472,48.89,34.96,,
15.1,자야,Xayah,BOT,40,0.419,30.0,18.07,,
15.1,아펠리오스,Aphelios,BOT,39,0.409,53.85,38.57,,
15.1,칼리스타,Kalista,BOT,32,0.335,34.38,20.41,,
15.1,스몰더,Smolder,BOT,30,0.314,50.0,33.15,,
15.1,트리스타나,Tristana,BOT,24,0.251,41.67,24.47,,
15.1,제리,Zeri,BOT,23,0.241,34.78,18.81,,
15.1,베이가,Veigar,BOT,22,0.231,68.18,47.32,,
15.1,코그모,KogMaw,BOT,19,0.199,47.37,27.33,,
15.1,닐라,Nilah,BOT,19,0.199,63.16,41.04,,
15.1,빅토르,Viktor,BOT,19,0.199,36.84,19.15,,ADJUSTMENT
15.1,럭스,Lux,BOT,17,0.178,58.82,36.01,,
15.1,카서스,Karthus,BOT,16,0.168,37.5,18.48,,
15.1,흐웨이,Hwei,BOT,13,0.136,46.15,23.21,LOW_N,
15.1,세라핀,Seraphine,BOT,13,0.136,38.46,17.71,LOW_N,
15.1,스웨인,Swain,BOT,10,0.105,50.0,23.66,LOW_N,BUFF
15.1,카시오페아,Cassiopeia,BOT,9,0.094,33.33,12.06,LOW_N,NERF
15.1,직스,Ziggs,BOT,9,0.094,33.33,12.06,LOW_N,
15.1,브랜드,Brand,BOT,7,0.073,42.86,15.82,LOW_N,
15.1,야스오,Yasuo,BOT,6,0.063,50.0,18.76,LOW_N,
15.1,신드라,Syndra,BOT,5,0.052,80.0,37.55,LOW_N,
15.1,사이온,Sion,BOT,2,0.021,0.0,0.0,LOW_N,
15.1,아크샨,Akshan,BOT,1,0.01,0.0,0.0,LOW_N,
15.1,암베사,Ambessa,BOT,1,0.01,100.0,20.65,LOW_N,ADJUSTMENT
15.1,애니,Annie,BOT,1,0.01,100.0,20.65,LOW_N,
15.1,아우렐리온 솔,AurelionSol,BOT,1,0.01,0.0,0.0,LOW_N,
15.1,오로라,Aurora,BOT,1,0.01,100.0,20.65,LOW_N,
15.1,브라이어,Briar,BOT,1,0.01,0.0,0.0,LOW_N,
15.1,가렌,Garen,BOT,1,0.01,0.0,0.0,LOW_N,
15.1,그라가스,Gragas,BOT,1,0.01,100.0,20.65,LOW_N,
15.1,하이머딩거,Heimerdinger,BOT,1,0.01,0.0,0.0,LOW_N,
15.1,아이번,Ivern,BOT,1,0.01,100.0,20.65,LOW_N,
